,school_name,state_name_public_school_latest_available_year,full-time_equivalent_fte_teachers_public_school_2012-13,full-time_equivalent_fte_teachers_public_school_2011-12,full-time_equivalent_fte_teachers_public_school_2010-11,pupil/teacher_ratio_public_school_2012-13,pupil/teacher_ratio_public_school_2011-12,pupil/teacher_ratio_public_school_2010-11,school_id_-_nces_assigned_public_school_latest_available_year
5553,LOOMIS ELEMENTARY,California,18.1,19.8,,25.14,24.29,,62256002772
5554,LOPEZ CONTINUATION HIGH,California,8.58,8.25,,19,17.33,,62308003523
5555,LOPEZ ELEMENTARY,California,28,29.5,,25.04,23.22,,63132011671
5556,LORBEER MIDDLE,California,28.5,29.5,,23.89,24.68,,63132004851
5557,LOREN MILLER ELEMENTARY,California,36,43.5,,23.97,24.55,,62271003186
5558,LORENA FALASCO ELEMENTARY,California,29,29,,30.69,30.93,,62274010962
5559,LORENA STREET ELEMENTARY,California,29,34,,23.86,22.26,,62271003147
5560,LORENZO MANOR ELEMENTARY,California,28.21,27.59,,24.03,23.41,,63471005855
5561,LORETO STREET ELEMENTARY,California,17,17,,22.24,22.71,,62271003148
5562,LORETTA LAMPTON ELEMENTARY,California,23.5,25,,27.15,25.36,,62769004174
5563,LORIN A. EDEN ELEMENTARY,California,14.55,15,,33.47,33.2,,61674002121
5564,LORIN GRISET ACADEMY,California,15.75,16.51,,21.59,21.26,,63531006001
5565,LORNE STREET ELEMENTARY,California,24,26,,25.71,25.65,,62271003150
5566,LOS ALAMITOS ELEMENTARY,California,28.08,26,,24.96,24.42,,62259007303
5567,LOS ALAMITOS ELEMENTARY,California,26.05,26.3,,26.99,27.38,,63459005727
5568,LOS ALAMITOS HIGH,California,106.02,105.02,,30.21,29.76,,62259007304
5569,LOS ALISOS INTERMEDIATE,California,33.21,34.49,,26.23,25.22,,63386005306
5570,LOS ALISOS MIDDLE,California,46.78,45.94,,24.26,24.12,,62769007123
5571,LOS ALTOS ELEMENTARY,California,14.6,15,,29.25,30.93,,63756006360
5572,LOS ALTOS ELEMENTARY,California,17,17,,21.47,21.12,,61632502052
5573,LOS ALTOS ELEMENTARY,California,21,18.2,,17.81,21.48,,60861000867
5574,LOS ALTOS HIGH,California,81.35,81.95,,21.24,20.11,,62631003929
5575,LOS ALTOS HIGH,California,75.1,80.3,,26.64,25.57,,61632502053
5576,LOS AMIGOS,California,35,33,,27.6,28.67,,62958008728
5577,LOS AMIGOS ELEMENTARY,California,20,19,,22.95,25.68,,61630001111
5578,LOS AMIGOS HIGH,California,73.34,77.91,,25.91,26.2,,61488001858
5579,LOS ANGELES ACADEMY MIDDLE,California,92.35,95.01,,17.95,18.6,,62271007523
5580,LOS ANGELES ACADEMY OF ARTS & ENTERPRISE CHARTER,California,19.5,23.28,,20.62,17.61,,62271011628
5581,LOS ANGELES BIG PICTURE HIGH,California,7.2,7.1,,18.61,19.15,,62271012699
5582,LOS ANGELES CENTER FOR ENRICHED STUDIES,California,60.5,60.07,,27.24,27.14,,62271008887
5583,LOS ANGELES COUNTY ONLINE HIGH,California,14.47,13,,36.49,31,,60282012172
5584,LOS ANGELES COUNTY ROP,California,,,,,,,60011010923
5585,LOS ANGELES COUNTY SPECIAL EDUCATION,California,470.75,566.92,,3.55,3.38,,69107810186
5586,LOS ANGELES EDUCATION CORPS CHARTER,California,17,18.25,,22.29,22.85,,69102311699
5587,LOS ANGELES ELEMENTARY,California,35,33.5,,22.66,25.55,,62271002143
5588,LOS ANGELES INTERNATIONAL CHARTER HIGH,California,11,8.96,,21.91,22.54,,69107810897
5589,LOS ANGELES LEADERSHIP ACADEMY,California,27.25,26.4,,19.78,19.81,,62271010517
5590,LOS ANGELES LEADERSHIP PRIMARY ACADEMY,California,7,4,,21.29,19.5,,62271012963
5591,LOS ANGELES RIVER AT SONIA SOTOMAYOR LEARNING ACAD,California,12,12.01,,25,23.23,,62271012916
5592,LOS ANGELES SENIOR HIGH,California,90.52,108.53,,19.32,17.94,,62271003151
5593,LOS ANGELES UNIFIED ALTERNATIVE EDUCATION,California,86,68,,29.94,60.81,,62271009570
5594,LOS ANGELES UNIFIED SCHOOL DISTRICT ROCP,California,,,,,,,60010910922
5595,LOS ARBOLES LITERACY AND TECHNOLOGY ACADEMY,California,19,20,,25.79,24.05,,61437001648
5596,LOS ARBOLES MIDDLE,California,33.33,30.5,,20.31,21.21,,62553003832
5597,LOS BANOS COMMUNITY DAY,California,,,,,,,62274008218
5598,LOS BANOS ELEMENTARY,California,32,32,,29.44,29.41,,62274003480
5599,LOS BANOS HIGH,California,52.1,61.1,,21.94,22.14,,62274003481
5600,LOS BANOS JUNIOR HIGH,California,60,57.15,,24.73,24.88,,62274003482
5601,LOS BANOS SPECIAL EDUCATION PRESCHOOL,California,,,,,,,62274013550
5602,LOS BERROS ELEMENTARY,California,19.8,24.82,,19.44,15.63,,62241002685
5603,LOS CERRITOS,California,28,31,,20.04,17.97,,62985004651
5604,LOS CERRITOS ELEMENTARY,California,18,17.75,,30.06,29.07,,62250002738
5605,LOS CERRITOS ELEMENTARY,California,13.1,12.6,,23.36,24.21,,63753006346
5606,LOS CERRITOS MIDDLE,California,42.2,42.4,,23.46,23.87,,60964001015
5607,LOS CERROS MIDDLE,California,27.85,26.34,,24.7,25.63,,63513005950
5608,LOS COCHES CREEK MIDDLE,California,33.71,33.55,,22.34,23.87,,60681011751
5609,LOS COYOTES ELEMENTARY,California,20,20,,27.35,27.25,,60807000778
5610,LOS COYOTES MIDDLE,California,22,23,,28.14,27.26,,62769008032
5611,LOS FELIZ CHARTER SCHOOL FOR THE ARTS,California,22.1,,,22.08,,,62271011660
5612,LOS FELIZ ELEMENTARY,California,15,15,,24.67,25.07,,62271003152
5613,LOS GATOS HIGH,California,81.32,81.59,,22.11,22.32,,62280003486
5614,LOS GATOS-SARATOGA JUHSD ADULT EDUCATION PROGRAM,California,,,,,,,62280012578
5615,LOS MEDANOS ELEMENTARY,California,31.1,31.1,,24.18,23.76,,63060004750
5616,LOS MOLINOS COMMUNITY DAY,California,1.17,1.17,,2.56,5.98,,62286007462
5617,LOS MOLINOS ELEMENTARY,California,14,13.5,,22.93,23.33,,62286003496
5618,LOS MOLINOS ELEMENTARY,California,13.6,13.6,,21.62,20.96,,61632502054
5619,LOS MOLINOS HIGH,California,10.6,10.33,,18.02,17.91,,62286003497
5620,LOS NIETOS MIDDLE,California,17.84,17.75,,21.8,23.61,,62289003500
5621,LOS OLIVOS ELEMENTARY,California,13.2,13.66,,15.91,16.54,,62292003504
5622,LOS OSOS HIGH,California,116.75,113.45,,27.69,28.65,,60816010605
5623,LOS OSOS MIDDLE,California,18.75,19.6,,20.43,18.83,,63480005873
5624,LOS PADRES ELEMENTARY,California,34,33,,23,23.27,,63393005324
5625,LOS PADRINOS JUVENILE HALL,California,33,33,,4.61,5.09,,69107812757
5626,LOS PASEOS ELEMENTARY,California,21.3,20.5,,27.98,29.41,,62583003878
5627,LOS PENASQUITOS ELEMENTARY,California,18,18,,30,29.17,,63153004887
5628,LOS PERALES ELEMENTARY,California,15.5,15,,23.61,22.8,,62574007075
5629,LOS PRIMEROS SCHOOL OF SCIENCES & ARTS,California,24.08,23.06,,23.05,24.2,,63099004803
5630,LOS RANCHOS ELEMENTARY,California,19.45,20.91,,23.08,21.62,,63480005874
5631,LOS ROBLES ACADEMY,California,18,19,,22.89,22.95,,61632502055
5632,LOS ROBLES ELEMENTARY,California,18,18,,28.72,25.89,,60006409424
5633,LOS ROBLES MAGNET ACADEMY,California,10.4,,,24.62,,,63186013130
5634,LOS TULES MIDDLE,California,28.5,29.5,,22.04,21.32,,63987011371
5635,LOST HILLS ELEMENTARY,California,15.3,19.2,,27.71,22.34,,62295003505
5636,LOU DANTZLER PREPARATORY CHARTER ELEMENTARY,California,10,8,,30.3,33.75,,62271012227
5637,LOU DANTZLER PREPARATORY CHARTER HIGH,California,6,11,,41.83,33.09,,62271011666
5638,LOU DANTZLER PREPARATORY CHARTER MIDDLE,California,3,8.5,,87,32,,62271011659
5639,LOU HENRY HOOVER ELEMENTARY,California,17,17,,28.47,28.12,,64245006939
5640,LOUIS A. BOHN ELEMENTARY,California,19.1,16.1,,25.71,29.38,,60004707400
5641,LOUIS E. STOCKLMEIR ELEMENTARY,California,46.2,45.81,,26.39,25.58,,61029001153
5642,LOUIS G. ZEYEN ELEMENTARY,California,12,14,,26,24.5,,61488001889
5643,LOUIS J. VILLALOVOZ ELEMENTARY,California,23,22,,26.43,27.27,,60004707396
5644,LOUIS LAKE INTERMEDIATE,California,19.64,21.74,,30.45,28.06,,61488008753
5645,LOUIS MILANI ELEMENTARY,California,18.8,17.5,,21.01,22.8,,62706004086
5646,LOUIS PASTEUR FUNDAMENTAL MIDDLE,California,27.4,28.8,,24.45,25.97,,63462005808
5647,LOUIS VANDERMOLEN FUNDAMENTAL ELEMENTARY,California,43,41,,25.47,25.15,,60985012394
5648,LOUISE FOUSSAT ELEMENTARY,California,29.95,31.75,,26.91,24.91,,62825012011
5649,LOUISE SANDRINI ELEMENTARY,California,21.58,21.21,,28.04,28.01,,60639009335
5650,LOUISE VAN METER ELEMENTARY,California,26.25,25.25,,24.95,25.11,,62283003492
5651,LOUISIANA SCHNELL ELEMENTARY,California,19.75,21,,22.18,20.81,,63078004786
5652,LOVELIA P. FLOURNOY ELEMENTARY,California,29,31,,22.52,22.52,,62271003239
5653,LOVELL HIGH,California,6,5,,14.83,16.2,,61035001158
5654,LOVONYA DEJEAN MIDDLE,California,27,27.1,,23.07,23.43,,63255011226
5655,LOWELL ELEMENTARY,California,16.9,18.49,,23.61,22.12,,63459005728
5656,LOWELL ELEMENTARY,California,30,36,,28.8,24.56,,63531005994
5657,LOWELL ELEMENTARY,California,24,22.5,,19.25,20.09,,61455001749
5658,LOWELL ELEMENTARY,California,27,29,,27.96,25.66,,62250002739
5659,LOWELL HIGH,California,118.71,123.05,,22.31,21.39,,63441005643
5660,LOWER LAKE ELEMENTARY,California,25,29.8,,28.04,23.59,,62007002403
5661,LOWER LAKE HIGH,California,35.55,39.93,,20.9,18.78,,62007002401
5662,LOYAL BARKER ELEMENTARY,California,16.5,16.5,,24.06,23.64,,61488001825
5663,LOYALTON ELEMENTARY,California,7,8,,23,22.88,,63678006228
5664,LOYALTON HIGH,California,9.47,8.83,,11.51,13.59,,63678006229
5665,LOYALTON MIDDLE,California,3,2.4,,17,21.67,,63678006230
5666,LOYOLA ELEMENTARY,California,26.09,25.21,,21.96,23.32,,62265002787
5667,LOYOLA VILLAGE ELEMENTARY,California,18,19.01,,22.94,25.14,,62271003153
5668,LPS COLLEGE PARK,California,7.11,12.6,,18.42,22.46,,62805010548
5669,LPS OAKLAND R & D CAMPUS,California,9.99,,,17.62,,,62805013155
5670,LRNG IN AN URBAN COMM WITH HIGH ACHIEVEMENT (L.U.C,California,12.37,12.89,,18.76,17.77,,60231011445
5671,LU SUTTON ELEMENTARY,California,20.3,19.7,,19.7,20.61,,62772004188
5672,LUCAS ELEMENTARY,California,,,,,,,60813013637
5673,LUCERNE ELEMENTARY,California,13,10,,19.15,14.5,,62304003514
5674,LUCERNE VALLEY COMMUNITY DAY,California,1,1,,5,11,,60001506466
5675,LUCERNE VALLEY ELEMENTARY,California,21,22.1,,19.05,19.86,,60001509083
5676,LUCERNE VALLEY HIGH,California,11.28,14.13,,21.81,18.05,,60001510305
5677,LUCERNE VALLEY MIDDLE,California,5.89,6.93,,19.52,16.88,,60001509084
5678,LUCILLE J. SMITH ELEMENTARY,California,20,20,,25.3,24.5,,62121011613
5679,LUCILLE M. NIXON ELEMENTARY,California,24.64,24.75,,20.01,19.43,,62961004594
5680,LUCILLE ROYBAL-ALLARD ELEMENTARY,California,22.5,,,25.16,,,62271013089
5681,LUCILLE WHITEHEAD INTERMEDIATE,California,15,14.5,,25.4,26.83,,60006312224
5682,LUDLOW PRESCHOOL,California,,,,,,,63474013589
5683,LUGO ELEMENTARY,California,19,16,,23.11,26.56,,62316003535
5684,LUGONIA ELEMENTARY,California,23.81,23.72,,24.23,25.89,,63207004939
5685,LUIGI APREA ELEMENTARY,California,26,28,,27.27,24.96,,61518001908
5686,LUISENO,California,35.5,34,,27.01,25.53,,60002710281
5687,LUNADA BAY ELEMENTARY,California,14,15,,25,25,,62970004609
5688,LUPIN HILL ELEMENTARY,California,29.15,30.05,,21.78,21.56,,62100002523
5689,LUPINE HILLS ELEMENTARY,California,19,21,,21.95,19.29,,63255005035
5690,LUTHER BURBANK ELEMENTARY,California,22,24,,25.5,23.21,,62313003530
5691,LUTHER BURBANK ELEMENTARY,California,20.33,20.33,,20.31,17.9,,63581006118
5692,LUTHER BURBANK ELEMENTARY,California,24.55,24,,23.5,24.04,,62460003693
5693,LUTHER BURBANK HIGH,California,95.09,74.61,,18.52,24.5,,63384005264
5694,LUTHER BURBANK MIDDLE,California,36.01,38.01,,24.69,22.28,,62271002873
5695,LUTHER BURBANK MIDDLE,California,45,46.2,,25.09,23.68,,60645000571
5696,LUTHER ELEMENTARY,California,25,25,,24.84,26.12,,62205002616
5697,LYDIA JACKSON ELEMENTARY,California,16,16,,28,28.25,,64245006940
5698,LYDIA ROMERO-CRUZ ELEMENTARY,California,9,9,,28.44,29.89,,63531007597
5699,LYDIKSEN ELEMENTARY,California,31.36,33.04,,22.16,21.1,,60002009284
5700,LYLE S. BRIGGS FUNDAMENTAL,California,34.8,35.2,,28.07,27.56,,60846007676
5701,LYMAN GILMORE MIDDLE,California,28.8,24.7,,18.75,18.58,,61578001997
5702,LYNBROOK HIGH,California,76,74.44,,24.28,24.02,,61443001698
5703,LYNDALE ELEMENTARY,California,29.49,31.32,,18.28,18.07,,60231000109
5704,LYNDON B. JOHNSON ELEMENTARY,California,21,22,,24.86,25.45,,61111008264
5705,LYNHAVEN ELEMENTARY,California,28,26,,20.93,22.42,,60720000670
5706,LYNWOOD COMMUNITY DAY,California,,,,,,,62316013431
5707,LYNWOOD ELEMENTARY,California,24,23,,17.17,18.52,,62772004189
5708,LYNWOOD HIGH,California,89.6,91.5,,26.02,26.81,,62316003536
5709,LYNWOOD MIDDLE,California,43.2,53,,22.85,18.57,,62316007527
5710,LYTLE CREEK ELEMENTARY,California,36.5,37,,20.22,19.95,,63417005367
5711,M. H. STANLEY MIDDLE,California,48.64,49.36,,23.68,23.58,,62031002449
5712,M. ROBERT ADKISON ELEMENTARY,California,25,24,,24.4,24.29,,60813011491
5713,MAAC COMMUNITY CHARTER,California,6.67,10.27,,38.68,29.99,,63864010384
5714,MABEL CARVER ELEMENTARY,California,11,12,,22.82,19.83,,61488001831
5715,MABEL L. PENDLETON ELEMENTARY,California,18,22,,27.22,25.32,,60636000559
5716,MABEL M. PAINE ELEMENTARY,California,19.9,16.45,,22.61,27.23,,63066009613
5717,MABLE BARRON,California,27.42,30,,27.06,24.93,,62169002580
5718,MACARTHUR ELEMENTARY,California,20,22.5,,25.45,24.71,,62250002740
5719,MACARTHUR PARK ELEM SCH FOR THE VISUAL AND PERF AR,California,20,8,,23.85,22.13,,62271010529
5720,MACGREGOR HIGH (CONTINUATION),California,2.2,2,,12.73,23,,60186007638
5721,MACHADO ELEMENTARY,California,29,28,,23.97,24.5,,60002709491
5722,MACY ELEMENTARY,California,23,21,,25.78,26.81,,62301003509
5723,MACY INTERMEDIATE,California,31.84,35,,29.33,27.06,,62547003801
5724,MADERA COUNTY INDEPENDENT ACADEMY,California,8.51,6.14,,40.66,34.36,,69101712301
5725,MADERA ELEMENTARY,California,19,21,,29,25,,63255005043
5726,MADERA ELEMENTARY,California,21,20,,24.86,23.1,,63684006261
5727,MADERA HIGH,California,86.5,83.53,,25.01,25.86,,62334003548
5728,MADERA SOUTH HIGH,California,108.4,103.66,,24.95,26.4,,62334011679
5729,MADISON (JAMES) ELEMENTARY,California,25,24.47,,24.48,26.48,,60261000159
5730,MADISON AVENUE ELEMENTARY,California,19,19,,22.79,23.11,,60681000619
5731,MADISON COMMUNITY HIGH,California,1.48,1.4,,12.16,18.57,,61293007705
5732,MADISON ELEMENTARY,California,27.15,25.6,,27.07,26.8,,63315005150
5733,MADISON ELEMENTARY,California,17.06,18.4,,22.16,22.17,,63468007482
5734,MADISON ELEMENTARY,California,24.5,24,,27.35,25.83,,60133205102
5735,MADISON ELEMENTARY,California,25.14,28.42,,28.44,24.81,,63801006422
5736,MADISON ELEMENTARY,California,20.2,17.5,,23.32,28.29,,62994004678
5737,MADISON ELEMENTARY,California,25,28,,25.96,22.79,,63132004852
5738,MADISON ELEMENTARY,California,40,38.5,,26.83,26.99,,63531005995
5739,MADISON ELEMENTARY,California,25,24.5,,24.64,23.88,,62271011625
5740,MADISON ELEMENTARY,California,16,17,,28.44,25.82,,60003204958
5741,MADISON ELEMENTARY,California,27.6,28.15,,26.81,28.53,,60797009123
5742,MADISON ELEMENTARY,California,20,20.24,,23.15,22.48,,63525005977
5743,MADISON ELEMENTARY,California,21.5,22.5,,25.26,25.78,,62250002741
5744,MADISON HIGH,California,63.63,65.21,,18.72,17.97,,63432005509
5745,MADISON MIDDLE,California,48.7,46.92,,25.91,27.17,,64119003968
5746,MADISON PARK ACADEMY 6-12,California,21,17,,17.86,19.94,,62805004278
5747,MADISON PARK ACADEMY TK-5,California,8,9,,28.13,27.33,,62805004316
5748,MADRONA ELEMENTARY,California,24,24.52,,23,21.74,,60964001016
5749,MADRONA MIDDLE,California,24.6,24.51,,29.47,29.25,,63942006565
5750,MADRONE ELEMENTARY,California,18,19.25,,21.5,21.4,,63264005078
5751,MADRONE HIGH CONTINUATION,California,4.4,3.8,,13.64,12.37,,63511005937
5752,MAE HENSLEY JUNIOR HIGH,California,24.74,31.82,,25.91,24.7,,60813000787
5753,MAEOLA E. BEITZEL ELEMENTARY,California,37,38,,25.46,25.61,,61233006286
5754,MAGNOLIA AVENUE ELEMENTARY,California,54,58,,20.26,20.26,,62271003157
5755,MAGNOLIA ELEMENTARY,California,27.38,25.38,,22.35,21.43,,60006204235
5756,MAGNOLIA ELEMENTARY,California,13.17,15.2,,22.7,22.76,,60360000278
5757,MAGNOLIA ELEMENTARY,California,5,5,,27,26.2,,62346003566
5758,MAGNOLIA ELEMENTARY,California,24.7,25.49,,28.06,27.66,,63315005151
5759,MAGNOLIA ELEMENTARY,California,24,23,,26.38,26.43,,60001609091
5760,MAGNOLIA ELEMENTARY,California,23,23,,24.61,23.43,,60681000620
5761,MAGNOLIA ELEMENTARY,California,14.5,15,,29.31,28.8,,60750000713
5762,MAGNOLIA HIGH,California,75.93,79.37,,23.9,24.28,,60263000182
5763,MAGNOLIA INDEPENDENT LEARNING CENTER,California,2,2,,25,26.5,,69103712346
5764,MAGNOLIA INTERMEDIATE,California,24.68,26.34,,21.39,23.54,,63093004792
5765,MAGNOLIA JUNIOR HIGH,California,34.1,33.05,,25.22,26.23,,60846000843
5766,MAGNOLIA PARK,California,3.6,4.6,,7.78,6.3,,60645005849
5767,MAGNOLIA SCIENCE ACADEMY,California,23.4,25.85,,20.85,20.15,,62271010524
5768,MAGNOLIA SCIENCE ACADEMY 2,California,21.8,,,17.43,,,62271011842
5769,MAGNOLIA SCIENCE ACADEMY 3,California,21.1,13.9,,17.96,21.08,,62271012010
5770,MAGNOLIA SCIENCE ACADEMY 4,California,10.45,8.85,,18.56,17.97,,62271012360
5771,MAGNOLIA SCIENCE ACADEMY 5,California,14.9,9.8,,16.04,21.53,,62271012347
5772,MAGNOLIA SCIENCE ACADEMY 6,California,8.5,9.2,,16,16.74,,62271012322
5773,MAGNOLIA SCIENCE ACADEMY 7,California,10,6.5,,23.3,18.62,,62271012235
5774,MAGNOLIA SCIENCE ACADEMY BELL,California,21,20.15,,23.57,23.87,,62271012695
5775,MAGNOLIA SCIENCE ACADEMY SAN DIEGO,California,15,14.1,,22.33,21.91,,63432011393
5776,MAGNOLIA SCIENCE ACADEMY SAN DIEGO 2,California,,,,,,,63432012501
5777,MAGNOLIA SCIENCE ACADEMY SANTA CLARA,California,12.2,12.5,,43.03,18.4,,69103512575
5778,MAHLER (THERESA S.) CHILDREN CENTER,California,,,,,,,63441013281
5779,MAHOGANY COMMUNITY DAY HIGH,California,,,,,,,60658007453
5780,MAIDU ELEMENTARY,California,22.68,22.64,,20.19,20.14,,61308007204
5781,MAIDU HIGH INDEPENDENT STUDY,California,3.8,4.63,,31.05,22.46,,63075010269
5782,MAIN AVENUE ELEMENTARY,California,10,12,,27,21.25,,63324005027
5783,MAIN STREET ELEMENTARY,California,17,21.5,,29.06,26.19,,63729002798
5784,MAIN STREET ELEMENTARY,California,40,39,,20.2,20.18,,62271003158
5785,MAIN STREET MIDDLE,California,27.36,28.35,,25.77,23.88,,63705006291
5786,MAINE PRAIRIE HIGH (CONTINUATION),California,5.1,4.9,,18.04,18.78,,61128001253
5787,MAINS ELEMENTARY,California,17,26.75,,26.65,17.76,,60690000639
5788,MAJESTIC WAY ELEMENTARY,California,24,21.5,,23.13,24.47,,60480000460
5789,MAJOR GENERAL RAYMOND MURRAY HIGH,California,10.3,10,,22.04,23.2,,64119012180
5790,MAJOR LYNN MOKLER,California,30.5,32,,21.41,20.91,,62985004652
5791,MAKING WAVES ACADEMY,California,34,42,,17.15,11.81,,69100512043
5792,MALABAR STREET ELEMENTARY,California,37,38.25,,20.32,20.26,,62271003159
5793,MALAGA ELEMENTARY,California,11.15,12.15,,19.28,18.02,,61425001640
5794,MALCOLM X ACADEMY,California,7.5,7,,15.07,14.86,,63441005669
5795,MALCOLM X ELEMENTARY,California,21.07,20.72,,22.78,22.25,,60474000447
5796,MALIBU HIGH,California,51.8,53.1,,22.12,22,,63570002173
5797,MALLOCH ELEMENTARY,California,16,13,,26.38,30.69,,61455001750
5798,MAMIE L. NORTHCUTT ELEMENTARY,California,16.6,18.6,,25.9,25.75,,61488001867
5799,MAMMOTH ELEMENTARY,California,24.5,28,,23.47,21.43,,62353003567
5800,MAMMOTH HIGH,California,20.25,21.7,,13.78,13.32,,62353003568
5801,MAMMOTH MIDDLE,California,14.4,13.5,,19.31,19.04,,62353003336
5802,MANCHESTER AVENUE ELEMENTARY,California,42,43,,21.24,21.6,,62271003160
5803,MANCHESTER ELEMENTARY,California,3.31,4.31,,14.5,12.53,,62355003569
5804,MANCHESTER GATE,California,23,23,,32.43,31.91,,61455008843
5805,MANDARIN LANGUAGE ACADEMY,California,8.34,5.3,,23.02,22.45,,62079012442
5806,MANDELA HIGH,California,,19.71,,,16.84,,62805011349
5807,MANGO ELEMENTARY,California,22.84,21.67,,26.01,27.41,,61392001124
5808,MANHATTAN BEACH MIDDLE,California,59.31,57.19,,23.44,24.18,,60002507535
5809,MANHATTAN BEACH PRESCHOOL,California,,,,,,,60002513480
5810,MANHATTAN PLACE ELEMENTARY,California,15.5,17.02,,21.68,22.39,,62271003161
5811,MANLIO SILVA ELEMENTARY,California,32.9,32.23,,25.35,25.22,,62223011417
5812,MANN (HORACE) ELEMENTARY,California,41.95,43.6,,27.1,26.31,,60261000160
5813,MANN ELEMENTARY,California,11.5,11.5,,29.22,29.57,,62250002742
5814,MANN MIDDLE,California,60.5,62.5,,15.22,15.62,,63432005510
5815,MANOR ELEMENTARY,California,21.09,20.09,,20.34,20.76,,60000608773
5816,MANTECA COMMUNITY DAY (7-12),California,5.3,5.7,,12.26,9.3,,62361006561
5817,MANTECA COMMUNITY DAY (K-6),California,1,1,,12,11,,62361007364
5818,MANTECA HIGH,California,68.67,67.5,,22.64,23.3,,62361003583
5819,MANTECA UNIFIED VOCATIONAL ACADEMY,California,1.6,,,11.88,,,62361013153
5820,MANTON ELEMENTARY,California,2,2,,18.5,19,,62367003591
5821,MANUAL ARTS SENIOR HIGH,California,83.34,135.23,,22.4,23.16,,62271003163
5822,MANUEL A. SALINAS CREATIVE ARTS ELEMENTARY,California,19,22,,31.47,28.59,,63417005352
5823,MANUEL DE VARGAS ELEMENTARY,California,22.5,19.28,,22,22.2,,61029001128
5824,MANUEL ESQUEDA ELEMENTARY,California,36.5,35,,29.12,25.71,,63531010991
5825,MANUEL F. CUNHA INTERMEDIATE,California,28.08,32.03,,26.1,24.29,,60678000601
5826,MANUEL F. HERNANDEZ,California,27,33,,29.78,27.15,,64116012218
5827,MANUEL L. REAL ELEMENTARY,California,27,29,,26.59,25.62,,69113507224
5828,MANZANITA COMMUNITY,California,17,17,,20.12,19.12,,62805004294
5829,MANZANITA COMMUNITY DAY,California,1,1,,2,1,,60011607169
5830,MANZANITA ELEMENTARY,California,21,23,,26.52,26.39,,63204004928
5831,MANZANITA ELEMENTARY,California,28.09,28.11,,26.88,27.32,,62958004573
5832,MANZANITA ELEMENTARY,California,14,14,,22.93,22.93,,61005001099
5833,MANZANITA ELEMENTARY,California,13.76,12.79,,21.8,23.77,,62370003592
5834,MANZANITA MIDDLE,California,7.6,7.6,,19.47,20.53,,63255008692
5835,MANZANITA PUBLIC CHARTER,California,20.7,21.87,,21.4,20.03,,62241012214
5836,MANZANITA SEED,California,13.01,11,,26.29,24.82,,62805011557
5837,MAPLE CREEK ELEMENTARY,California,1.45,1.13,,7.59,12.39,,62373003593
5838,MAPLE CREEK ELEMENTARY,California,24,26,,29.21,27.54,,60903004482
5839,MAPLE ELEMENTARY,California,11,11,,25.09,25,,62376003594
5840,MAPLE ELEMENTARY,California,17.8,15.64,,22.64,25.64,,61473006099
5841,MAPLE ELEMENTARY,California,17.01,19.04,,19.52,18.7,,60964001018
5842,MAPLE ELEMENTARY,California,27.5,24,,24.55,26.67,,60001409080
5843,MAPLE ELEMENTARY,California,26.58,24.92,,26.37,27.61,,61392001594
5844,MAPLE ELEMENTARY,California,8,9.4,,28.88,28.83,,63384005265
5845,MAPLE ELEMENTARY,California,35,34,,21.26,22,,63987006615
5846,MAPLE HIGH,California,9.47,9.97,,20.06,21.66,,62241002687
5847,MAPLE HILL ELEMENTARY,California,21,21,,26.05,24.38,,64128006839
5848,MAPLE PRIMARY CENTER,California,11,11,,20.09,19.55,,62271010855
5849,MAR VISTA ACADEMY FOR PROBLEM BASED LEARNING,California,44.01,44.64,,22.97,23.81,,63864006485
5850,MAR VISTA EARLY CHILDHOOD CENTER,California,9.16,,,,,,61185013217
5851,MAR VISTA ELEMENTARY,California,17,16,,26.24,27.75,,62949004545
5852,MAR VISTA ELEMENTARY,California,26,27,,23.08,23.11,,62271003164
